State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Number of Days in Package,Average Daily Activity Cost,Average Daily Food Cost,Number of Famous Places Covered,Overall Rating (Out of 5),Discount Percentage,Train Cost (Low),Train Cost (High),Bus Cost (Low),Bus Cost (High),Flight Cost (Low),Flight Cost (High),Car Rental Cost (Low),Car Rental Cost (High)
Meghalaya,Rainy,Medium,12506,Cost Level: Low,Local Cuisine: 879 INR per day,3-star: 3637 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Wildlife Safari, Boating",High,4.8/5,Winter,"Khasi, Garo",Moderately Safe,Yes,Festival,9,869,879,2,4.8,28,780,1152,247,595,3273,8293,1877,2537
Assam,Rainy,High,35704,Cost Level: Low,Local Cuisine: 1999 INR per day,Homestay: 3478 INR per night,"Kaziranga National Park, Majuli Island",River Rafting,High,4.1/5,Summer,Assamese,Very Safe,Yes,Art Exhibitions,8,1412,1999,2,4.1,10,403,1282,262,839,3815,8412,1956,3101
Arunachal Pradesh,Rainy,Low,44474,Cost Level: Low,Local Cuisine: 1687 INR per day,Homestay: 3983 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, Cultural Tours",High,4.3/5,Summer,"Hindi, English",Very Safe,No,Festival,5,1898,1687,2,4.3,5,492,1010,277,724,3843,6266,1716,3375
Assam,Sunny,Low,28097,Cost Level: Low,Local Cuisine: 1395 INR per day,3-star: 4642 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking, Wildlife Safari",High,4.3/5,Winter,Assamese,Moderately Safe,No,Festival,7,1299,1395,2,4.3,25,750,1055,140,804,4950,9211,1352,2734
Manipur,Rainy,High,28394,Cost Level: High,Local Cuisine: 1612 INR per day,Homestay: 1543 INR per night,"Loktak Lake, Kangla Fort","Boating, Cultural Tours",Low,3.5/5,Winter,Manipuri,Moderately Safe,No,Festival,10,640,1612,2,3.5,8,348,1398,121,506,3538,6732,1218,2699
Arunachal Pradesh,Sunny,Low,25606,Cost Level: Low,Local Cuisine: 1584 INR per day,Homestay: 1148 INR per night,"Tawang Monastery, Ziro Valley",River Rafting,High,3.5/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions,4,759,1584,2,3.5,11,480,1133,188,678,4979,9734,1039,2728
Nagaland,Rainy,High,36678,Cost Level: Low,Local Cuisine: 597 INR per day,Homestay: 1604 INR per night,"Kohima War Cemetery, Dzükou Valley",Boating,Low,3.7/5,Summer,"English, Nagamese",Very Safe,No,Local Traditions,10,1127,597,2,3.7,18,402,1207,240,973,3866,7287,929,3554
Meghalaya,Rainy,Medium,18641,Cost Level: Low,Local Cuisine: 970 INR per day,Homestay: 4785 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,Low,4.4/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Local Traditions,6,1332,970,2,4.4,18,411,1595,197,600,3535,7434,1292,2590
Meghalaya,Pleasant,Low,44937,Cost Level: High,Local Cuisine: 1271 INR per day,Luxury Resort: 3134 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours, Boating",High,4.1/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Art Exhibitions,3,1749,1271,2,4.1,19,757,1447,261,938,4542,8858,856,3107
Nagaland,Pleasant,Medium,39037,Cost Level: High,Local Cuisine: 1239 INR per day,Homestay: 1503 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Wildlife Safari, Boating",Low,3.6/5,Summer,"English, Nagamese",Moderately Safe,No,Art Exhibitions,3,1333,1239,2,3.6,9,383,1521,286,691,4182,9983,1923,2616
